complaint_text,ipc_sections
They threatened my family if we take legal action.,506
He hit me with his hand and caused injury.,323
Someone stole my mobile phone from market while I was waiting.,379
Unknown person stole my mobile phone from market.,"379,411"
Unknown person stole my mobile phone from office.,379
I am facing domestic cruelty by my husband and his family.,498A
My scooter got stolen near parking area at evening.,"379,411"
"He collected ₹10,000 from me by giving false promises.",420
He hit me with his hand and caused injury.,323
I was robbed near market and my gold chain was taken.,392
They used force and took my gold chain from me.,392
The accused insulted me and provoked me.,504
He intentionally insulted me leading to breach of peace.,"504,323"
He intentionally insulted me leading to breach of peace.,504
He hit me with his hand and caused injury.,323
He gave death threats and warned me not to complain.,506
He followed me and touched me without consent.,"354,506"
My bag got stolen near railway station at morning.,"379,411"
A group of people stopped me and robbed my wallet.,392
He used a forged document as genuine for a loan.,471
I am facing domestic cruelty by my husband and his family.,498A
The accused kept my laptop and is not returning it.,406
He sexually harassed me in public and tried to molest me.,354
A group of people stopped me and robbed my phone.,392
Fake documents were prepared to cheat me.,"468,471"
A group of people stopped me and robbed my phone.,392
"After marriage, my husband demanded dowry and treated me cruelly.",498A
Someone damaged my house window causing loss.,427
They used fake certificates to obtain a job.,471
"A person took ₹25,000 promising a business profit and later blocked me.","420,468"
Unknown person stole my bike from college.,379
My in-laws are mentally and physically harassing me for money.,"498A,406"
He sexually harassed me in public and tried to molest me.,354
He damaged my house window intentionally.,427
They used fake certificates to obtain government benefit.,471
They assaulted me and I suffered simple injuries.,323
Someone stole my wallet from office while I was waiting.,379
He hit me with his hand and caused injury.,"323,506"
"He cheated me by taking ₹50,000 for a job and never returned it.","420,468"
The accused beat me during an argument and I got pain.,323
He gave death threats and warned me not to complain.,506
They made forged certificates to get benefits.,468
They assaulted me and I suffered simple injuries.,323
I was robbed near street and my bag was taken.,392
My gold chain got stolen near home at evening.,"379,411"
My in-laws are mentally and physically harassing me for money.,"498A,406"
My husband and in-laws harassed me for dowry and tortured me.,"498A,406"
My husband and in-laws harassed me for dowry and tortured me.,498A
My in-laws are mentally and physically harassing me for money.,498A
He sexually harassed me in public and tried to molest me.,354
Someone damaged my bike causing loss.,427
"A person took ₹1,00,000 promising a business profit and later blocked me.",420
"A person took ₹2,00,000 promising a business profit and later blocked me.",420
He abused me using filthy language in public.,504
I am facing domestic cruelty by my husband and his family.,498A
I was robbed near street and my gold chain was taken.,"392,506"
Someone stole my vehicle from office while I was working.,"379,411"
Someone forged my documents and used them for loan.,468
Someone used forged papers to claim a loan.,471
They assaulted me and I suffered simple injuries.,323
"They defrauded me of ₹25,000 using fake documents.",420
Someone used forged papers to claim a loan.,471
He intentionally insulted me leading to breach of peace.,504
He abused me using filthy language in public.,504
The accused threatened me with serious consequences.,506
He sexually harassed me in public and tried to molest me.,"354,506"
Fake documents were prepared to cheat me.,468
